LOT ID :,S
RECEIPE :,"AB,¨ÌSLOT¸Ñ¥]?¡ô"
STARTTIME :,2018-01-07 11:10:02
ENDTIME :,2018-01-07 11:10:12
COUNT :,3
Port-A,8(T),START,END,Port-B,,,,Port-C,8(L),START,END
25,"","","",25,"","","",25,"","",""
24,"","","",24,"","","",24,"","",""
23,"","","",23,"","","",23,"","",""
22,"","","",22,"","","",22,"","",""
21,"","","",21,"","","",21,"","",""
20,"","","",20,"","","",20,"","",""
19,"","","",19,"","","",19,"","",""
18,"","","",18,"","","",18,"","",""
17,"","","",17,"","","",17,"","",""
16,"","","",16,"","","",16,"","",""
15,"","","",15,"","","",15,"","",""
14,"","","",14,"","","",14,"","",""
13,"","","",13,"","","",13,"","",""
12,"","","",12,"","","",12,"","",""
11,"","","",11,"","","",11,"","",""
10,"","","",10,"","","",10,"","",""
09,"","","",09,"","","",09,"","",""
08,"","","",08,"","","",08,"","",""
07,"","","",07,"","","",07,"","",""
06,"","","",06,"","","",06,"","",""
05,"WAFER EXIST","2018-01-07 11:10:08","2018-01-07 11:10:11",05,"","","",05,"","",""
04,"","","",04,"","","",04,"","",""
03,"WAFER EXIST","2018-01-07 11:10:05","2018-01-07 11:10:08",03,"","","",03,"","",""
02,"","","",02,"","","",02,"","",""
01,"WAFER EXIST","2018-01-07 11:10:03","2018-01-07 11:10:05",01,"","","",01,"","",""
